Conservation_Unit,BSL_lower,BSL_upper,BSL_best_guess
Chinook_BB_FA_0.3,13.055555555555555,41.111111111111114,27.055555555555557
Chinook_LFR_FA_0.3,23.47826086956522,53.69565217391305,40.65217391304348
Chinook_LFR_SP_1.3,18.863636363636363,49.72727272727273,36.90909090909091
Chinook_LFR_SU_1.3,21,51.7,39
Chinook_LFR-Upper_Pitt_SU_1.3,14.117647058823529,40.470588235294116,28.235294117647058
Chinook_Maria_Slough_SU_0.3,16.5,43,31.75
Chum_LFR,22.727272727272727,55.31818181818182,40.45454545454545
Coho_BB,12.8125,35.9375,25
Coho_LFR,15.9375,45.625,32.5
Coho_Lillooet,17.3125,45.5,33.25
Pink_FR,27.142857142857142,60.142857142857146,45.476190476190474
Sockeye_Chilliwack_ES,23.157894736842106,56.578947368421055,40.78947368421053
Sockeye_Cultus_Late,8.095238095238095,21.428571428571427,13.714285714285714
Sockeye_Harrison_Down_Late(Big_Silver),25.27777777777778,56.111111111111114,42.111111111111114
Sockeye_Harrison_River,25.789473684210527,57.36842105263158,42.89473684210526
Sockeye_Harrison_Up_Late(Weaver),13.157894736842104,39.21052631578947,26.473684210526315
Sockeye_Lillooet/Harrison_Late(Birk),17.63157894736842,42.10526315789474,30.789473684210527
Sockeye_Pitt_ES,25.11111111111111,58.05555555555556,45.111111111111114
Sockeye_Widgeon_River,12.222222222222221,32.77777777777778,22.77777777777778
