Conservation_Unit,S01_lower,S01_upper,S01_best_guess,S02_lower,S02_upper,S02_best_guess,S03_lower,S03_upper,S03_best_guess,S04_lower,S04_upper,S04_best_guess,S05_lower,S05_upper,S05_best_guess,S06_lower,S06_upper,S06_best_guess,S07_lower,S07_upper,S07_best_guess,S08_lower,S08_upper,S08_best_guess,S09_lower,S09_upper,S09_best_guess,S10_lower,S10_upper,S10_best_guess,S11_lower,S11_upper,S11_best_guess,S12_1.9.10_lower,S12_1.9.10_upper,S12_1.9.10_best_guess,S13_2.6_lower,S13_2.6_upper,S13_2.6_best_guess,ALL_lower,ALL_upper,ALL_best_guess,S15_Fut_Bas_lower,S15_Fut_Bas_upper,S15_Fut_Bas_best_guess
Chinook_BB_FA_0.3,12.5,15.833333333333334,16,15,17.823529411764707,16.88235294117647,14.117647058823529,18.941176470588236,16.941176470588236,17.352941176470587,22.058823529411764,21.470588235294116,15.588235294117647,17.352941176470587,16.764705882352942,14.333333333333334,21,20,11.25,16.6875,16,17.941176470588236,18.823529411764707,18.823529411764707,13.88888888888889,15.944444444444445,16.38888888888889,14.1875,16.875,15.625,10.882352941176471,15.117647058823529,14.235294117647058,24,31.529411764705884,29.352941176470587,32.1875,35.125,37.375,35.294117647058826,37.05882352941177,36.94117647058823,-1.5333333333333334,-4.866666666666666,-5.533333333333333
Chinook_LFR_FA_0.3,12.434782608695652,13.73913043478261,13.695652173913043,12.045454545454545,13.409090909090908,11.545454545454545,12.5,18.181818181818183,16.636363636363637,13.181818181818182,17.954545454545453,16.727272727272727,15,17.727272727272727,18.181818181818183,10.25,16.5,15.75,4.761904761904762,9.285714285714286,8.19047619047619,12.136363636363637,16,16.454545454545453,9.857142857142858,14.666666666666666,14.142857142857142,10.6,15.75,13.75,7.863636363636363,14.545454545454545,14.454545454545455,20.571428571428573,29.857142857142858,27.761904761904763,24.526315789473685,32.36842105263158,30.42105263157895,30.25,33.25,33.7,-4.588235294117647,-1.6470588235294117,-4
Chinook_LFR_SP_1.3,12.727272727272727,15.954545454545455,16.5,12.55,14.3,13.5,12.75,14.8,14.9,13.15,13.45,15,12.6,12.75,13.1,10.944444444444445,14.277777777777779,13.444444444444445,6.105263157894737,8,6.842105263157895,12.25,12.75,12,9.894736842105264,11.263157894736842,10.842105263157896,10.944444444444445,13.88888888888889,11.944444444444445,8.95,11.05,12.5,22.63157894736842,26.789473684210527,26.526315789473685,28.764705882352942,31.058823529411764,31.294117647058822,29.444444444444443,32.666666666666664,31.944444444444443,-3.3125,-0.8125,-4.0625
Chinook_LFR_SU_1.3,12,13.85,15.25,10.157894736842104,12.421052631578947,11.157894736842104,11.157894736842104,14.157894736842104,11.789473684210526,11.052631578947368,12.368421052631579,12.789473684210526,10.105263157894736,9.473684210526315,10.105263157894736,9.117647058823529,11.764705882352942,10.411764705882353,5.944444444444445,7.333333333333333,5.944444444444445,9.842105263157896,9.736842105263158,8.789473684210526,9.444444444444445,8.61111111111111,9.722222222222221,11.882352941176471,12.941176470588236,11.764705882352942,8.578947368421053,10.052631578947368,11.157894736842104,20.833333333333332,23.72222222222222,23.555555555555557,23.375,26.625,26.875,26.41176470588235,28.41176470588235,28.470588235294116,-3.6666666666666665,-2.8666666666666667,-4.666666666666667
Chinook_LFR-Upper_Pitt_SU_1.3,9.764705882352942,12.941176470588236,12.411764705882353,9.1875,15.0625,12.5,8.125,13.9375,11.5,9.6875,15.75,15.75,8.5625,9.375,10.125,6.428571428571429,11.785714285714286,10.714285714285714,3.2666666666666666,7.533333333333333,4.6,10.125,10.625,10.125,8.470588235294118,9.764705882352942,9.823529411764707,11.8,15,12.666666666666666,6.875,12,13.5625,21.5,26.1875,24.4375,27.333333333333332,31.8,29.933333333333334,29.1875,36.6875,33.4375,-2.857142857142857,-2,-4.285714285714286
Chinook_Maria_Slough_SU_0.3,12.5,17.85,16.55,12.222222222222221,17.5,15.555555555555555,10.833333333333334,17.77777777777778,15.555555555555555,14.88888888888889,18.61111111111111,16.38888888888889,12.777777777777779,12.5,14.166666666666666,9.6875,13.4375,12.1875,7.823529411764706,9.235294117647058,8.058823529411764,12.61111111111111,14,13.722222222222221,8.529411764705882,10.764705882352942,10.294117647058824,12.9375,14.6875,12.5,8.333333333333334,13.61111111111111,13,20.294117647058822,26.294117647058822,25.41176470588235,28.2,33.266666666666666,33,28.4375,36.125,34.6875,-2,-0.9285714285714286,-3.5714285714285716
Chum_LFR,14.409090909090908,13.772727272727273,14.181818181818182,10.666666666666666,14.047619047619047,13.476190476190476,11.523809523809524,17.142857142857142,14.714285714285714,14.380952380952381,18.61904761904762,17.714285714285715,10.333333333333334,10.80952380952381,12.238095238095237,12.894736842105264,17.210526315789473,17.473684210526315,9.25,10.5,9.05,14.380952380952381,14.857142857142858,13.476190476190476,11.1,11.55,11.1,12.210526315789474,12.631578947368421,12.894736842105264,10.238095238095237,10.80952380952381,10.571428571428571,18.35,22.25,20.25,23.61111111111111,28.833333333333332,26.833333333333332,28.63157894736842,30.842105263157894,30.263157894736842,-5.1875,-5.5,-8.9375
Coho_BB,9.0625,13.75,13.75,11.428571428571429,21.428571428571427,19.642857142857142,14.666666666666666,21.333333333333332,19.333333333333332,18,26.333333333333332,25.333333333333332,15,20.357142857142858,18.928571428571427,11.923076923076923,27.307692307692307,24.23076923076923,9.285714285714286,18.071428571428573,16.928571428571427,17.5,22.142857142857142,21.071428571428573,14.357142857142858,18.285714285714285,18.642857142857142,17.46153846153846,25,21.923076923076923,9.642857142857142,18.571428571428573,17.142857142857142,21.5,29.071428571428573,26.285714285714285,28.571428571428573,37.857142857142854,36.785714285714285,35.357142857142854,42.857142857142854,40,-3.1666666666666665,-4,-7.333333333333333
Coho_LFR,12.8125,15.9375,14.0625,14.285714285714286,21.071428571428573,18.214285714285715,14.333333333333334,21.333333333333332,18,16.333333333333332,22.666666666666668,22.333333333333332,10,13.333333333333334,12.666666666666666,16.071428571428573,23.571428571428573,21.428571428571427,7.142857142857143,11.428571428571429,9.428571428571429,15.333333333333334,16.666666666666668,16.666666666666668,13.214285714285714,13.571428571428571,13.928571428571429,17.285714285714285,19.285714285714285,17.857142857142858,12.5,17.857142857142858,17.5,22.307692307692307,27.692307692307693,26.153846153846153,28.076923076923077,35.76923076923077,33.84615384615385,34.23076923076923,38.07692307692308,37.69230769230769,-3.5833333333333335,-6.083333333333333,-7.75
Coho_Lillooet,15.1875,17.0625,16.75,13.071428571428571,19.285714285714285,17.357142857142858,14.666666666666666,24.133333333333333,21.533333333333335,16.333333333333332,21.2,20.133333333333333,11.785714285714286,15.357142857142858,15.357142857142858,15.384615384615385,22.307692307692307,20.384615384615383,7.357142857142857,9.642857142857142,8.071428571428571,15.714285714285714,18.214285714285715,17.5,12.923076923076923,17.615384615384617,17.384615384615383,16.833333333333332,20.416666666666668,17.5,12.285714285714286,19.428571428571427,17.214285714285715,24.846153846153847,30.46153846153846,27.615384615384617,24.916666666666668,34.583333333333336,33.5,27.583333333333332,40.083333333333336,37.916666666666664,-4.3,-1.3,-5.3
