"expert","Expert","CU_group","BSL_lower","BSL_upper","BSL_best_guess","S01_lower","S01_upper","S01_best_guess","S02_lower","S02_upper","S02_best_guess","S03_lower","S03_upper","S03_best_guess","S04_lower","S04_upper","S04_best_guess","S05_lower","S05_upper","S05_best_guess","S06_lower","S06_upper","S06_best_guess","S07_lower","S07_upper","S07_best_guess","S08_lower","S08_upper","S08_best_guess","S09_lower","S09_upper","S09_best_guess","S10_lower","S10_upper","S10_best_guess","S11_lower","S11_upper","S11_best_guess","S12_1.9.10_lower","S12_1.9.10_upper","S12_1.9.10_best_guess","S13_2.6_lower","S13_2.6_upper","S13_2.6_best_guess","ALL_lower","ALL_upper","ALL_best_guess","S15_Fut_Bas_lower","S15_Fut_Bas_upper","S15_Fut_Bas_best_guess"
1,"ZD","Chinook_LFR_FA_0.3",40,90,60,45,95,65,45,95,65,50,95,65,45,95,65,60,95,70,45,90,60,45,95,65,45,95,65,45,95,65,45,95,65,45,95,65,55,95,70,60,95,70,60,95,70,40,95,55
1,"ZD","Chinook_Maria_Slough_SU_0.3",20,70,45,25,85,55,20,80,50,20,80,50,20,80,50,30,80,55,20,70,45,25,75,50,25,75,50,20,70,45,20,70,45,30,75,50,25,85,55,35,85,60,35,85,60,20,70,40
1,"ZD","Chinook_LFR_SP_1.3",10,70,40,15,75,45,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,15,75,45,15,75,45,15,75,45,20,80,50,10,70,40
1,"ZD","Chinook_LFR_SU_1.3",10,70,40,15,75,45,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,15,75,45,15,75,45,15,75,45,20,80,50,10,70,40
1,"ZD","Chinook_LFR-Upper_Pitt_SU_1.3",10,70,40,15,75,45,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,10,70,40,15,75,45,15,75,45,15,75,45,20,80,50,10,70,40
1,"ZD","Chinook_BB_FA_0.3",20,70,50,25,80,55,30,80,60,25,75,55,30,80,60,25,75,55,25,75,55,25,75,55,25,75,55,20,70,50,20,70,50,25,75,55,25,80,55,40,80,65,45,80,65,20,70,50
1,"ZD","Chum_LFR",50,90,65,55,95,75,55,95,75,55,95,70,55,95,70,55,95,75,50,95,65,50,95,65,50,95,65,55,95,65,50,95,65,50,95,70,55,95,75,60,95,75,65,95,80,50,95,60
1,"ZD","Coho_Lillooet",0,40,20,0,40,20,0,40,20,0,40,20,0,40,20,0,40,20,0,40,25,0,40,20,0,40,20,0,40,20,0,40,20,0,45,25,0,40,20,0,45,30,0,50,30,0,40,20
1,"ZD","Coho_LFR",0,30,15,0,30,15,0,35,20,0,35,20,0,35,20,0,30,15,0,35,20,0,35,17,0,35,20,0,30,15,0,35,20,0,35,20,0,35,20,0,40,25,0,40,25,0,30,15
1,"ZD","Coho_BB",0,20,10,0,20,10,0,25,15,0,25,15,0,25,15,0,20,10,0,25,15,0,25,12,0,25,15,0,20,10,0,20,10,0,25,15,0,20,10,0,30,20,0,35,20,0,20,10
1,"ZD","Pink_FR",30,90,60,30,95,60,30,95,60,30,95,60,30,95,60,30,95,65,30,95,60,30,95,60,30,95,60,35,95,65,30,95,60,30,95,60,35,95,65,30,95,65,35,95,65,30,95,60
1,"ZD","Sockeye_Chilliwack_ES",0,70,50,0,70,50,0,70,50,0,70,50,0,70,50,0,70,50,0,70,50,0,70,50,0,70,50,0,70,50,0,70,50,0,70,55,0,70,50,0,70,50,0,70,55,0,70,50
1,"ZD","Sockeye_Cultus_Late",0,5,0,0,5,0,0,25,10,0,10,5,0,20,10,0,5,0,0,5,0,0,10,5,0,20,10,0,5,0,0,5,0,0,5,0,0,5,0,0,50,25,0,50,25,0,5,0
1,"ZD","Sockeye_Harrison_Down_Late(Big_Silver)",20,60,40,20,60,40,20,60,40,20,60,40,20,60,40,20,60,40,20,60,40,20,60,40,20,60,40,20,60,40,20,60,40,20,60,45,20,60,40,20,60,40,20,60,45,20,60,40
1,"ZD","Sockeye_Harrison_Up_Late(Weaver)",0,50,30,0,50,30,0,50,30,0,50,30,0,50,30,0,50,30,0,50,30,0,50,30,0,50,30,0,50,30,0,50,30,0,50,35,0,50,30,0,50,30,0,50,35,0,50,30
1,"ZD","Sockeye_Pitt_ES",10,70,50,10,70,50,10,70,50,10,70,50,10,70,50,10,70,50,10,70,50,10,70,50,10,70,50,10,70,50,10,75,55,10,70,55,10,75,55,10,70,50,10,75,55,10,70,50
1,"ZD","Sockeye_Lillooet/Harrison_Late(Birk)",10,50,30,10,50,30,10,50,30,10,50,30,10,50,30,10,50,30,10,50,30,10,50,30,10,50,30,10,50,30,10,50,30,10,50,35,10,50,30,10,50,30,10,50,35,10,50,30
