Strategy,Chinook_BB_FA_0.3,Chinook_LFR_FA_0.3,Chinook_LFR_SP_1.3,Chinook_LFR_SU_1.3,Chinook_LFR-Upper_Pitt_SU_1.3,Chinook_Maria_Slough_SU_0.3,Chum_LFR,Coho_BB,Coho_LFR,Coho_Lillooet,Pink_FR,Sockeye_Chilliwack_ES,Sockeye_Cultus_Late,Sockeye_Harrison_Down_Late(Big_Silver),Sockeye_Harrison_River,Sockeye_Harrison_Up_Late(Weaver),Sockeye_Lillooet/Harrison_Late(Birk),Sockeye_Pitt_ES,Sockeye_Widgeon_River
BSL,27.055555555555557,40.65217391304348,36.90909090909091,39,28.235294117647058,31.75,40.45454545454545,25,32.5,33.25,45.476190476190474,40.78947368421053,13.714285714285714,42.111111111111114,42.89473684210526,26.473684210526315,30.789473684210527,45.111111111111114,22.77777777777778
S01,38.220555555555556,50.209171195652175,48.422997159090905,49.641640625,36.89637867647059,43.298796875,50.35079545454545,34.594921875,42.31298828125,44.938359375,53.31827380952381,50.00794407894737,22.752619047619046,51.29897569444445,52.37029605263157,38.483404605263154,40.52212171052632,52.51567708333334,30.725086805555556
S02,38.54962417737909,48.512704212225294,46.10034090459091,46.59666666294737,36.74571078014706,42.340740735555556,49.62958513259307,38.37351189821429,44.90089285107143,45.06732142278572,50.92285714019047,46.79682662244582,18.382857140571428,48.158513068934646,49.823217230869965,33.92502679947076,36.79682662244582,51.621579857923614,27.18316993248366
S03,37.8237908496732,51.22666254940711,46.37990340909091,46.49368421052632,35.54498161764706,41.6375,49.80731331168831,37.28875,43.94125,46.937125,54.34315922619047,48.34219427244582,19.58625,50.03772875816994,50.93352360681114,34.66618421052632,39.12737809597523,51.86462673611111,28.76013071895425
S04,41.95614379084967,52.26090118577075,47.3190909090909,47.875894736842106,39.16579411764705,43.123888888888885,52.74825974025974,42.58133333333333,47.99933333333333,47.22253333333333,54.012390476190475,49.89312074303405,21.943142857142856,50.76569934640523,53.30473684210526,36.189684210526316,40.587120743034056,52.83186111111112,29.10542483660131
S05,38.70702614379085,53.28853754940711,46.01359090909091,46.02315789473684,35.27216911764706,41.59583333333333,48.96002164502164,38.15535714285714,41.303333333333335,43.92321428571429,52.42619047619047,45.899767801857585,17.01553571428571,46.40375816993465,49.84473684210526,32.26535087719298,37.73947368421052,53.58142361111111,28.70571895424837
S06,41.68055555555556,52.169361413043475,46.740340909090904,46.61360294117647,36.07011554621849,40.662109375,53.23217703349282,42.71875,48.169642857142854,48.15625,54.210565476190474,48.589473684210525,19.102443609022554,49.423611111111114,51.18223684210526,36.299856085526315,41.27072368421052,52.91111111111111,28.62777777777778
S07,38.42888888355556,46.47423740237681,41.77268739803827,43.22550925727778,31.50512744944706,37.47848038947059,46.887587118195455,37.0333928515,39.202142854,38.9874404735,50.30237468445363,46.16515076502303,19.756369044785714,46.28725694248612,48.181559756292756,31.360663374901314,36.031869515085525,50.486788191923615,27.75361110877778
S08,42.34967320261438,54.02149209486166,46.65909090909091,46.141447368421055,36.46185661764706,42.89930555555556,51.40395021645021,42.120535714285715,46.04166666666667,47.46875,55.226190476190474,50.587267801857585,24.073660714285715,49.51919934640523,53.64841331269349,35.793537151702786,40.587267801857585,56.34272875816994,32.09763071895425
S09,36.41770833333334,48.731281055900624,43.10264354066985,44.55381944444444,33.846985294117644,37.630514705882355,46.79542045454545,35.64973214285715,40.456696428571426,43.18096153846154,51.339019423558895,46.21634868421053,17.442443609022554,47.573689236111115,49.03567434210526,33.150168585526316,37.78728618421053,54.00118923611112,28.01983660130719
S10,37.45920138368056,49.807382241793476,44.862100164368684,46.833333329411765,36.66918300231372,40.0729166625,49.0402910642823,39.597115377307695,44.389880946428576,44.9020833275,52.31947750980159,46.615515347960525,18.970864659022556,47.65972221944445,49.76114308866776,33.96430920677631,39.73660909639803,53.76694444011112,27.97960069184028
S11,37.020261437908495,50.770355731225294,45.65909090909091,46.810526315789474,37.72904411764706,40.85,47.85454545454545,37,44.75,45.3,51.32119047619047,48.48947368421052,19.209285714285713,49.72875816993464,50.67251461988304,34.32923976608187,40.628362573099416,55.03464052287582,28.336601307189543
S12,45.98718342155556,58.557638535614906,54.01764354656459,54.192515437333334,43.99663309877206,48.139705887999995,53.515092334045455,41.953373021714285,49.36832265538462,51.06096421553846,59.414606761857144,55.01902013008553,25.194667662685717,53.518934465736116,55.95528372160526,41.99316121240132,46.10739903671053,58.29258898023612,34.99417892577778
S13,52.74495035968056,61.56183094072769,58.41884189991443,57.472307300625005,48.80972134984706,54.432275011,58.898213519045456,50.28435417892857,55.763871806153844,56.2759458445,62.745649859565475,53.52820591261053,25.20816581245238,55.9561361178254,57.23726629350526,43.15317532972631,45.452762580210525,61.469842785711116,35.45063976309028
ALL,52.56154888449673,63.92030062984348,58.965096286868686,58.65748530447058,51.32217800764706,55.699944970000004,61.34970844401914,52.61795456,58.52461102769231,59.429519426666666,64.36199763854341,60.582341118877196,29.958003725233084,60.56911074204445,61.53685617010526,48.19980846439299,50.76646081594386,64.01214876311111,39.83592618248366
S15,21.522222222222226,36.65217391304348,32.84659090909091,34.333333333333336,23.949579831932773,28.178571428571427,31.517045454545453,17.666666666666668,24.75,27.95,38.83333333333333,33.25101214574899,10.714285714285714,33.034188034188034,36.125506072874494,23.16599190283401,26.327935222672068,37.3968253968254,17.20634920634921
