Strategy,Chinook_BB_FA_0.3,Chinook_LFR_FA_0.3,Chinook_LFR_SP_1.3,Chinook_LFR_SU_1.3,Chinook_LFR-Upper_Pitt_SU_1.3,Chinook_Maria_Slough_SU_0.3,Chum_LFR,Coho_BB,Coho_LFR,Coho_Lillooet,Pink_FR,Sockeye_Chilliwack_ES,Sockeye_Cultus_Late,Sockeye_Harrison_Down_Late(Big_Silver),Sockeye_Harrison_River,Sockeye_Harrison_Up_Late(Weaver),Sockeye_Lillooet/Harrison_Late(Birk),Sockeye_Pitt_ES,Sockeye_Widgeon_River
BSL,27.055555555555557,40.65217391304348,36.90909090909091,39,28.235294117647058,31.75,40.45454545454545,25,32.5,33.25,45.476190476190474,40.78947368421053,13.714285714285714,42.111111111111114,42.89473684210526,26.473684210526315,30.789473684210527,45.111111111111114,22.77777777777778
S01,40.38580555555556,52.062578125,50.655911221590905,51.70539453125,38.57603952205882,45.53847734375,52.269994318181816,36.455683593749995,44.2160400390625,47.20510546875,54.839104166666665,51.79569983552632,24.505440476190476,53.080796006944446,54.20790953947368,40.8124728618421,42.40959292763158,53.951658854166666,32.266323784722225
S02,41.56242075726144,50.57308679567984,48.50952841359091,48.58788596863158,38.97643995514706,45.11675926444445,52.03452363364069,41.878943458928575,48.15138393464286,48.164848220071434,52.350523812190474,48.37145898126935,19.60657143085714,49.743642976817,51.63929321804643,35.87815412158187,38.37145898126935,53.32808767679862,28.337900328954248
S03,40.6132614379085,53.965943799407114,48.83328153409091,48.434894736842104,37.43852849264706,44.198819444444446,52.23011241883117,40.47210416666667,46.9050625,50.482722916666674,56.64011391369047,50.29869794891641,21.10736011904762,52.091089052287586,53.01594088622291,36.788420321637425,41.287280669504646,53.61409939236111,30.30983660130719
S04,45.79937908496732,55.255083003952564,50.004090909090905,50.16521052631579,41.98504411764706,46.057500000000005,55.919116883116885,47.116,51.997,50.8264,56.21409047619048,52.24117956656347,24.065571428571428,52.99793464052288,55.98973684210526,38.695684210526316,43.114179566563465,54.823236111111115,30.73748366013072
S05,40.76908496732026,55.52490118577075,47.62489090909091,47.2661052631579,36.517544117647056,43.33833333333333,50.46530735930736,40.48357142857142,42.861333333333334,45.81214285714286,53.656190476190474,46.80417956656347,17.599785714285712,47.16346405228759,51.07473684210526,33.29035087719298,38.96947368421053,55.080486111111114,29.75483660130719
S06,44.480555555555554,54.374361413043474,48.62256313131313,48.07125,37.57011554621849,42.368359375,55.678492822966504,46.11105769230769,51.169642857142854,51.01009615384615,55.8827876984127,50.08280701754386,20.134022556390978,50.82361111111111,52.76890350877193,38.18110608552632,43.2773903508772,54.40444444444445,29.747777777777777
S07,40.71288888355556,47.64342787856729,42.749397924354064,44.07407870172222,32.16177744944706,38.62887744829412,48.17947461819546,39.44994642292857,40.548071425428574,40.13963690207143,51.27157205287469,47.24469764002303,20.969744044785713,47.12591319248612,49.24326288129276,32.34206962490131,37.08465076508553,51.566335066923614,28.75286110877778
S08,45.36143790849674,56.65421936758893,48.57909090909091,47.547763157894735,38.08185661764706,45.094861111111115,53.560140692640694,45.49196428571429,48.708333333333336,50.26875,57.146190476190476,52.51667956656347,26.113660714285714,50.978022875817,55.76606037151703,37.628831269349845,42.51667956656347,58.55449346405229,33.93292483660131
S09,38.34954861111111,50.39837034161491,44.38065669856459,45.69982638888889,35.00493382352941,38.84393382352941,48.10383295454545,37.84725892857143,42.098526785714284,45.23017307692308,52.548789160401,47.336161184210525,18.211733082706765,48.70086892361111,50.30283059210526,34.52783264802632,39.231254934210526,55.835618923611115,29.101513071895425
S10,39.50705294618056,51.60949161679348,46.427568914368685,48.375245094117645,38.329308002313724,41.7111979125,50.730307511650715,42.47040864653846,46.730282732142854,47.1956770775,53.66650875980159,47.762312222960524,20.005568606390977,48.75190971944445,51.11272511991776,35.43876233177632,41.497761440148025,55.470756940111116,29.00352647309028
S11,38.26584967320262,52.03512845849802,46.75284090909091,47.786842105263155,38.91576286764706,41.9875,48.779545454545456,38.5,46.28125,46.80625,52.05181547619048,49.45197368421053,19.896160714285713,50.680964052287585,51.64473684210526,35.311184210526314,41.85822368421053,56.27508169934641,29.031454248366014
S12,49.746958860261444,62.11362043971015,57.415360660669855,57.20971220444444,47.126796843897054,51.39466177882353,56.10888530954546,45.320271840000004,52.718330676923074,54.59817856769231,62.182742475079365,57.844973587960524,27.47464371028571,55.784500552361116,58.549076697105264,45.075291754276314,49.14950190921053,60.91039855736111,37.42032660366013
S13,58.613681882555554,66.33863336314874,63.33273553779679,61.692298195,53.50994066538039,59.614031272000005,63.11166179187879,56.060554339999996,61.078493612307696,61.536213564,66.69085064919048,56.438363974343865,27.833937924507936,59.11902630311111,60.51381116157192,46.96359811559299,48.80258480954386,65.20698821031112,38.34574979527778
ALL,57.79923748402614,68.69844043664348,63.49432541464646,62.694175244235296,56.063099366397054,60.618097033750004,65.64055709138756,58.28933712,63.86879844,64.80551747833333,68.24022247736694,64.64683195354387,33.29367215196992,64.35948475297778,65.36503939810527,52.661296078259646,54.868760867677196,67.8935012026111,43.33883894013072
S15,21.522222222222226,36.65217391304348,32.84659090909091,34.333333333333336,23.949579831932773,28.178571428571427,31.517045454545453,17.666666666666668,24.75,27.95,38.83333333333333,33.25101214574899,10.714285714285714,33.034188034188034,36.125506072874494,23.16599190283401,26.327935222672068,37.3968253968254,17.20634920634921
