Strategy_Name,Strategy,Benefit,Total_Cost,Annual_Cost,Feasibility,Exp.Benefit,CE,CE_rank,ExpBenefit_rank,Cost_rank
Fisheries Management,S01,266.45624633980907,62659801,2506392,0.6978125,185.936499398998,2.9673969025052918,6,7,6
Watershed Hydrology Protection & Management,S02,228.37229185932748,51893098,2075724,0.680833333,155.4834686314347,2.9962263696693285,5,11,5
Protect Habitat,S03,267.13491761936035,250889194,10035568,0.635625,169.79763201180592,0.6767833612307986,10,8,9
Freshwater Habitat Restoration,S04,296.74618151885954,25579544,1023182,0.694,205.9418499740885,8.0510367962028,4,5,4
Estuarine Habitat Restoration,S05,218.96358694195382,18063873,722555,0.695,152.1796929246579,8.424532929602522,2,12,2
Barrier Removal,S06,263.7760006161709,154853394,6194136,0.73125,192.88620045057496,1.2456052493791319,8,6,8
Invasive Species Management,S07,158.09139454027223,7699291,307972,0.710833333,112.3766328996797,14.59571185186788,1,14,1
Pollution,S08,256.6143506046757,1604572517,64182901,0.8125,208.49915986629898,0.12994062758604444,14,4,13
Pathogens & Disease (Aquaculture),S09,227.54820880443944,461282658,18451306,0.57125,129.98691427953605,0.28179449633577175,12,13,10
Hatchery Operations,S10,239.49412156900547,19061702,762468,0.665833333,159.4631691981981,8.365631211640917,3,10,3
Predator Control & Management,S11,237.92769462649494,90576308,3623052,0.7,166.54938623854645,1.8387742878473965,7,9,7
Fisheries & Aquaculture & Hatchery Reform Combined,S12,443.95321462593137,543004161,21720166,0.644965278,286.3344084902075,0.5273153118438213,11,3,12
All Habitat Strategies Combined,S13,509.09128444225195,501279102,20051164,0.687341667,349.9196521037086,0.6980535408470082,9,2,11
All Strategies Combined,ALL,590.8134807229235,2747131380,109885255,0.690448864,407.9264966010285,0.14849180478620885,13,1,14
