"","BSL","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","ALL","S15"
"Chinook_BB_FA_0.3",18,18,17,17,17,17,15,16,17,18,16,17,17,16,17,15
"Chinook_LFR_FA_0.3",23,23,22,22,22,22,20,21,22,21,20,22,21,19,20,17
"Chinook_LFR_SP_1.3",22,22,20,20,20,20,18,19,20,19,18,20,19,17,18,16
"Chinook_LFR_SU_1.3",20,20,19,19,19,19,17,18,19,18,17,19,18,16,17,15
"Chinook_LFR-Upper_Pitt_SU_1.3",17,17,16,16,16,16,14,15,16,17,15,16,16,15,16,14
"Chinook_Maria_Slough_SU_0.3",20,20,18,18,18,18,16,17,18,17,16,18,17,15,16,14
"Chum_LFR",22,22,21,21,21,21,19,20,21,20,19,21,20,18,19,16
"Coho_BB",16,16,14,15,15,14,13,14,14,14,13,14,14,14,14,12
"Coho_LFR",16,16,14,15,15,15,14,14,15,14,14,14,13,13,13,12
"Coho_Lillooet",16,16,14,15,15,14,13,14,14,13,12,14,13,12,12,10
"Pink_FR",21,21,20,20,20,20,18,19,20,19,18,20,18,16,17,14
"Sockeye_Chilliwack_ES",19,19,17,17,17,17,15,16,17,16,16,18,16,15,15,13
"Sockeye_Cultus_Late",21,21,21,21,21,20,19,20,20,19,19,20,20,18,19,16
"Sockeye_Harrison_Down_Late(Big_Silver)",18,18,17,17,17,17,15,16,17,16,15,17,16,14,15,13
"Sockeye_Harrison_River",19,19,17,17,17,17,15,16,17,16,16,18,16,15,15,13
"Sockeye_Harrison_Up_Late(Weaver)",19,19,18,18,18,18,16,16,17,16,16,18,16,15,15,13
"Sockeye_Lillooet/Harrison_Late(Birk)",19,19,17,17,17,17,15,16,17,16,16,18,16,15,15,13
"Sockeye_Pitt_ES",18,18,16,16,16,16,15,16,17,16,15,17,16,15,16,14
"Sockeye_Widgeon_River",18,18,17,17,17,17,15,16,17,17,16,17,17,16,17,14
