Conservation_Unit,BSL_lower,BSL_upper,BSL_best_guess,S01_lower,S01_upper,S01_best_guess,S02_lower,S02_upper,S02_best_guess,S03_lower,S03_upper,S03_best_guess,S04_lower,S04_upper,S04_best_guess,S05_lower,S05_upper,S05_best_guess,S06_lower,S06_upper,S06_best_guess,S07_lower,S07_upper,S07_best_guess,S08_lower,S08_upper,S08_best_guess,S09_lower,S09_upper,S09_best_guess,S10_lower,S10_upper,S10_best_guess,S11_lower,S11_upper,S11_best_guess,S12_1.9.10_lower,S12_1.9.10_upper,S12_1.9.10_best_guess,S13_2.6_lower,S13_2.6_upper,S13_2.6_best_guess,ALL_lower,ALL_upper,ALL_best_guess,S15_Fut_Bas_lower,S15_Fut_Bas_upper,S15_Fut_Bas_best_guess
Chinook_BB_FA_0.3,13.055555555555555,41.111111111111114,27.055555555555557,23.469813368055554,54.30250434027778,40.38580555555556,25.944930560555555,56.426721411169936,41.56242075726144,24.353643790849674,56.26937949346406,40.6132614379085,28.20467320261438,60.368464052287585,45.79937908496732,25.80673202614379,55.305816993464056,40.76908496732026,25.54347222222222,59.407361111111115,44.480555555555554,22.658368051805553,55.355282980548616,40.71288888355556,30.503349673202614,59.4169934640523,45.36143790849674,22.62673611111111,52.098826388888895,38.34954861111111,24.361515186243054,54.55872829298612,39.50705294618056,21.625408496732028,53.016258169934645,38.26584967320262,31.608847235555558,65.48504331816994,49.746958860261444,40.23354060305556,70.76941712411111,58.613681882555554,42.42850007320261,71.95270285464053,57.79923748402614,11.522222222222222,36.24444444444445,21.522222222222226
Chinook_LFR_FA_0.3,23.47826086956522,53.69565217391305,40.65217391304348,33.838183423913044,65.14227989130436,52.062578125,33.82881958570158,65.21797225414032,50.57308679567984,33.48177649456522,68.24622035573123,53.965943799407114,34.98598814229249,69.36997035573123,55.255083003952564,35.748260869565215,68.19656126482214,55.52490118577075,32.40857336956522,68.07127717391305,54.374361413043474,27.542943407660456,61.62178312319876,47.64342787856729,35.28087450592886,69.25565217391305,56.65421936758893,30.27106444099379,63.80281884057971,50.39837034161491,31.925356699365217,66.24676154366304,51.60949161679348,29.670874505928854,65.1501976284585,52.03512845849802,39.38108230956522,76.77683051391304,62.11362043971015,44.1874132981968,81.02640055075516,66.33863336314874,48.653322066565224,81.36741365491305,68.69844043664348,18.890025575447574,52.048593350383634,36.65217391304348
Chinook_LFR_SP_1.3,18.863636363636363,49.72727272727273,36.90909090909091,29.46724431818182,63.01965269886364,50.655911221590905,29.647746784486365,62.015143565372725,48.50952841359091,29.067222301136365,61.57143522727273,48.83328153409091,30.343586363636362,61.469122727272726,50.004090909090905,29.170436363636362,60.156772727272724,47.62489090909091,28.398983585858588,62.166786616161616,48.62256313131313,24.074987238794257,56.55593939127273,42.749397924354064,30.776761363636364,62.126647727272726,48.57909090909091,25.682346889952154,57.48899641148326,44.38065669856459,27.58521853591414,60.79527040782828,46.427568914368685,25.911761363636362,58.42914772727273,46.75284090909091,36.3590649215311,70.43697769464114,57.415360660669855,43.15153527987166,75.95224333621391,63.33273553779679,43.36828729919192,76.91356470860606,63.49432541464646,15.551136363636363,48.91477272727273,32.84659090909091
Chinook_LFR_SU_1.3,21,51.7,39,30.997687499999998,63.23899765625,51.70539453125,29.72859430163158,62.37330702168421,48.58788596863158,29.929453947368422,63.030297697368425,48.434894736842104,30.64894736842105,62.49763157894737,50.16521052631579,29.266105263157893,59.44947368421053,47.2661052631579,28.94375,61.95,48.07125,26.07407870172222,57.95961110866667,44.07407870172222,30.571447368421055,61.169078947368426,47.547763157894735,27.50840277777778,57.63413194444445,45.69982638888889,30.468997545058826,62.012769603529414,48.375245094117645,27.755921052631578,59.616447368421056,47.786842105263155,37.10528791666667,70.03855450777777,57.20971220444444,40.737022151000005,74.18120704900001,61.692298195,42.980753480705886,75.34522033670588,62.694175244235296,17.333333333333332,48.833333333333336,34.333333333333336
Chinook_LFR-Upper_Pitt_SU_1.3,14.117647058823529,40.470588235294116,28.235294117647058,22.253020220588233,51.25240808823529,38.57603952205882,22.01238924938603,53.41366896948162,38.97643995514706,20.61993221507353,51.62450815716912,37.43852849264706,22.57483455882353,54.220338235294115,41.98504411764706,21.121772058823527,48.13933823529412,36.517544117647056,19.718539915966385,50.73889180672269,37.57011554621849,16.906019279956862,46.900916010560785,32.16177744944706,23.96420955882353,50.80340073529412,38.08185661764706,19.954941176470587,47.19969117647059,35.00493382352941,23.52101788822353,52.42402573029412,38.329308002313724,19.53170955882353,49.92058823529412,38.91576286764706,30.73830418882353,60.714935146544114,47.126796843897054,37.19694568815686,67.32138200649412,53.50994066538039,38.408460238573525,71.00315212504412,56.063099366397054,11.260504201680671,38.470588235294116,23.949579831932773
Chinook_Maria_Slough_SU_0.3,16.5,43,31.75,26.914257812499997,57.87156015625,45.53847734375,27.002453707777775,58.0376041725,45.11675926444445,25.169713541666667,57.227222222222224,44.198819444444446,29.498,59.2475,46.057500000000005,26.952222222222222,53.225,43.33833333333333,24.940234375,54.707421875,42.368359375,23.178034311117646,50.88309313417647,38.62887744829412,28.764305555555556,56.615,45.094861111111115,22.377830882352942,50.41822794117647,38.84393382352941,26.8098398394375,54.7044075471875,41.7111979125,23.0625,53.71875,41.9875,32.18844517058824,63.32676809058823,51.39466177882353,40.311081268799995,71.08919516106667,59.614031272000005,40.16663810875,73.0644325865,60.618097033750004,14.5,42.07142857142857,28.178571428571427
Chum_LFR,22.727272727272727,55.31818181818182,40.45454545454545,34.732071732954545,66.79280042613637,52.269994318181816,31.89305050860606,67.38918380699134,52.03452363364069,31.949561417748917,69.03728896103897,52.23011241883117,35.281844155844155,71.57261038961039,55.919116883116885,31.179939393939392,64.1603722943723,50.46530735930736,33.961812200956935,70.3128528708134,55.678492822966504,30.622918557522727,64.28080681468182,48.17947461819546,36.71274891774892,69.76675324675325,53.560140692640694,30.376560227272726,63.27757556818182,48.10383295454545,32.4577902670622,65.38423444555025,50.730307511650715,30.789772727272727,63.83068181818182,48.779545454545456,36.912810324272726,72.51862931318182,56.10888530954546,42.66365873838384,79.66402732351516,63.11166179187879,46.55542982369378,80.98601280807655,65.64055709138756,17.539772727272727,49.81818181818182,31.517045454545453
Coho_BB,12.8125,35.9375,25,20.3628369140625,47.393183593749995,36.455683593749995,22.632976194285717,54.35089286428571,41.878943458928575,24.549958333333336,53.01016666666666,40.47210416666667,28.5265,58.9265,47.116,25.0825,52.589642857142856,40.48357142857142,23.20048076923077,59.729326923076925,46.11105769230769,20.738630949285714,51.36297023207143,39.44994642292857,29.83125,57.471428571428575,45.49196428571429,22.706366071428572,48.538642857142854,37.84725892857143,26.72752723776923,55.859895824999995,42.47040864653846,20.40625,50.5625,38.5,29.43315713,58.41127891,45.320271840000004,36.937202400000004,67.90273067999999,56.060554339999996,42.23789620428571,71.60464691428571,58.28933712,9.645833333333334,31.9375,17.666666666666668
Coho_LFR,15.9375,45.625,32.5,26.6121142578125,58.903178710937496,44.2160400390625,28.213095242857143,63.731502983214284,48.15138393464286,27.408197916666666,62.69766666666666,46.9050625,30.1965,65.413,51.997,24.1175,56.531666666666666,42.861333333333334,29.939732142857146,66.16160714285715,51.169642857142854,22.034523807142858,55.38023809142857,40.548071425428574,30.84916666666667,61.833333333333336,48.708333333333336,25.043794642857144,54.97741071428571,42.098526785714284,29.712413684714285,60.993705350714286,46.730282732142854,25.78125,59.6875,46.28125,33.182546753846154,67.03264424615385,52.718330676923074,39.644659473846154,75.82727165846154,61.078493612307696,44.42549042,77.31388822,63.86879844,12.354166666666666,39.541666666666664,24.75
Coho_Lillooet,17.3125,45.5,33.25,29.965823242187497,59.7154619140625,47.20510546875,28.544669647214285,62.07205357785715,48.164848220071434,29.049958333333336,64.81345416666667,50.482722916666674,31.5715,64.0076,50.8264,26.953214285714285,58.06214285714286,45.81214285714286,30.716346153846153,64.93557692307692,51.01009615384615,23.59243452135714,53.730982139642855,40.13963690207143,32.59464285714286,63.21339285714286,50.26875,26.218115384615384,57.639201923076925,45.23017307692308,30.726913188833333,61.76995659041667,47.1956770775,26.9875,60.8,46.80625,36.519914143076925,69.04840867076923,54.59817856769231,38.35125088466667,74.70094186333334,61.536213564,40.26827205566667,78.85868990566667,64.80551747833333,13.0125,44.2,27.95
