Conservation_Unit,BSL_lower,BSL_upper,BSL_best_guess,S01_lower,S01_upper,S01_best_guess,S02_lower,S02_upper,S02_best_guess,S03_lower,S03_upper,S03_best_guess,S04_lower,S04_upper,S04_best_guess,S05_lower,S05_upper,S05_best_guess,S06_lower,S06_upper,S06_best_guess,S07_lower,S07_upper,S07_best_guess,S08_lower,S08_upper,S08_best_guess,S09_lower,S09_upper,S09_best_guess,S10_lower,S10_upper,S10_best_guess,S11_lower,S11_upper,S11_best_guess,S12_1.9.10_lower,S12_1.9.10_upper,S12_1.9.10_best_guess,S13_2.6_lower,S13_2.6_upper,S13_2.6_best_guess,ALL_lower,ALL_upper,ALL_best_guess,S15_Fut_Bas_lower,S15_Fut_Bas_upper,S15_Fut_Bas_best_guess
Chinook_BB_FA_0.3,13.055555555555555,41.111111111111114,27.055555555555557,21.778211805555557,52.15980902777778,38.220555555555556,23.268055550555555,53.24596404634641,38.54962417737909,22.02908496732026,53.15059640522876,37.8237908496732,25.098496732026142,56.419934640522875,41.95614379084967,23.889379084967317,53.171405228758175,38.70702614379085,23.536805555555553,56.46736111111112,41.68055555555556,21.052430551805557,52.97314235554862,38.42888888355556,27.6327614379085,56.40522875816994,42.34967320261438,20.989583333333336,50.219375,36.41770833333334,22.502065967493056,52.347048605486115,37.45920138368056,20.673202614379086,51.69346405228758,37.020261437908495,28.534722227555555,61.44648693511112,45.98718342155556,35.17936546211806,65.25398716448612,52.74495035968056,37.42433899084968,66.69833371816995,52.56154888449673,11.522222222222222,36.24444444444445,21.522222222222226
Chinook_LFR_FA_0.3,23.47826086956522,53.69565217391305,40.65217391304348,32.155407608695654,63.282989130434785,50.209171195652175,31.679207835247038,62.82500823004941,48.512704212225294,31.42357336956522,65.25247035573123,51.22666254940711,32.62644268774704,66.15610671936759,52.26090118577075,33.903260869565216,66.01610671936758,53.28853754940711,30.97357336956522,65.76127717391304,52.169361413043475,26.863181502898552,60.29624740891305,46.47423740237681,33.33905632411067,66.69565217391305,54.02149209486166,29.109153726708076,62.07398550724638,48.731281055900624,30.53609419936522,64.18252716866304,49.807382241793476,28.982806324110673,63.877470355731226,50.770355731225294,36.74611801699379,72.9524726170559,58.557638535614906,40.33621964967048,75.94381665838674,61.56183094072769,44.36433900556522,76.65307690191305,63.92030062984348,18.890025575447574,52.048593350383634,36.65217391304348
Chinook_LFR_SP_1.3,18.863636363636363,49.72727272727273,36.90909090909091,27.74488636363636,60.86055397727273,48.422997159090905,27.408094692786364,59.463189389172726,46.10034090459091,26.96785511363636,59.134522727272724,46.37990340909091,27.98973636363636,59.061572727272726,47.3190909090909,27.620636363636365,58.588522727272725,46.01359090909091,26.866761363636364,60.16789772727273,46.740340909090904,23.203460923004783,55.41393939127273,41.77268739803827,28.816761363636363,60.08664772727273,46.65909090909091,24.516004784688995,56.161351674641146,43.10264354066985,26.150812285914142,58.97495790782828,44.862100164368684,25.12863636363636,57.462272727272726,45.65909090909091,33.460218971004785,67.00555306948326,54.01764354656459,38.634817255577545,71.07529626703743,58.41884189991443,39.19351958141414,72.2819356179394,58.965096286868686,15.551136363636363,48.91477272727273,32.84659090909091
Chinook_LFR_SU_1.3,21,51.7,39,29.37375,61.364703125000005,49.641640625,27.915833329947368,60.15666666252632,46.59666666294737,28.09223684210526,60.69911184210527,46.49368421052632,28.670526315789473,60.28368421052632,47.875894736842106,28.02315789473684,58.28421052631579,46.02315789473684,27.667279411764703,60.30294117647059,46.61360294117647,25.22550925727778,56.91277777533334,43.22550925727778,28.99671052631579,59.61118421052632,46.141447368421055,26.395138888888887,56.61909722222222,44.55381944444444,28.911666662705883,60.316666662352944,46.833333329411765,27.00526315789474,58.73684210526316,46.810526315789474,34.436776625,67.00000965033334,54.192515437333334,37.066611466124996,70.00047188387501,57.472307300625005,39.235972937411766,71.31687066541177,58.65748530447058,17.333333333333332,48.833333333333336,34.333333333333336
Chinook_LFR-Upper_Pitt_SU_1.3,14.117647058823529,40.470588235294116,28.235294117647058,20.93158088235294,49.50110294117647,36.89637867647059,20.37280330576103,50.72564031360662,36.74571078014706,19.28210018382353,49.329611672794115,35.54498161764706,20.84077205882353,51.40108823529411,39.16579411764705,20.068584558823527,46.986213235294116,35.27216911764706,18.818539915966387,49.088891806722685,36.07011554621849,16.439702613290194,45.82553267722745,31.50512744944706,22.34420955882353,49.103400735294116,36.46185661764706,18.956470588235295,46.048676470588234,33.846985294117644,21.97448038822353,50.458088230294116,36.66918300231372,18.93014705882353,48.870588235294115,37.72904411764706,27.984400535823532,57.36061645291912,43.99663309877206,32.90498595682352,62.32805324589411,48.80972134984706,34.270123276823526,65.80143093329411,51.32217800764706,11.260504201680671,38.470588235294116,23.949579831932773
Chinook_Maria_Slough_SU_0.3,16.5,43,31.75,25.22265625,55.455953125,43.298796875,24.821296292222222,54.9145833275,42.340740735555556,23.3859375,54.3,41.6375,26.83288888888889,55.91611111111111,43.123888888888885,25.380555555555553,51.6875,41.59583333333333,23.583984375,52.826171875,40.662109375,22.061225487588235,49.564754898882356,37.47848038947059,26.74652777777778,54.375,42.89930555555556,21.372426470588238,49.14933823529412,37.630514705882355,25.114218745687502,52.7794270784375,40.0729166625,22.333333333333332,52.52777777777778,40.85,29.58900123,59.958792898,48.139705887999995,35.883035009400004,65.8655661222,54.432275011,36.134639570000004,67.942465212,55.699944970000004,14.5,42.07142857142857,28.178571428571427
Chum_LFR,22.727272727272727,55.31818181818182,40.45454545454545,32.78211647727272,64.92896306818182,50.35079545454545,29.98949494593939,64.88226911508659,49.62958513259307,30.052094155844156,66.21461038961039,49.80731331168831,32.707653679653674,68.23980086580087,52.74825974025974,29.90893939393939,62.83080086580087,48.96002164502164,32.1565490430622,67.90337918660288,53.23217703349282,29.302481057522726,62.78193181468182,46.887587118195455,34.41179653679654,67.3896103896104,51.40395021645021,29.068147727272727,61.91611931818182,46.79542045454545,30.85744816179904,63.72870812976077,49.0402910642823,29.89393939393939,62.88484848484849,47.85454545454545,34.56238557857273,69.66865925368182,53.515092334045455,38.95617319810606,75.13653321668181,58.898213519045456,42.495913886009575,76.61307836049761,61.34970844401914,17.539772727272727,49.81818181818182,31.517045454545453
Coho_BB,12.8125,35.9375,25,19.13642578125,45.532421875,34.594921875,20.593452377142857,50.52678570714286,38.37351189821429,22.134999999999998,49.4975,37.28875,25.304499999999997,54.212833333333336,42.58133333333333,23.237499999999997,50.08571428571429,38.15535714285714,21.53125,55.90625,42.71875,19.413095235,48.7832738035,37.0333928515,27.03125,53.92857142857143,42.120535714285715,21.014017857142857,46.38321428571429,35.64973214285715,24.438974353153846,52.583333325,39.597115377307695,19.5625,48.9375,37,26.679253477000003,54.68756201042857,41.953373021714285,32.450833342857145,61.95829167928571,50.28435417892857,37.22479912,65.5281656,52.61795456,9.645833333333334,31.9375,17.666666666666668
Coho_LFR,15.9375,45.625,32.5,24.87822265625,56.74638671875,42.31298828125,25.663690471428573,59.971130945357146,44.90089285107143,25.048125,59.185,43.94125,27.27283333333333,61.355666666666664,47.99933333333333,22.8875,54.891666666666666,41.303333333333335,27.689732142857146,62.86160714285714,48.169642857142854,21.01488095,53.74880952,39.202142854,28.395833333333336,59.16666666666667,46.04166666666667,23.486160714285713,53.377678571428575,40.456696428571426,27.446904756142857,58.46607142214286,44.389880946428576,24.6875,58.125,44.75,30.32518697076923,63.485576929230774,49.36832265538462,35.235939111923074,70.21068270423076,55.763871806153844,39.572095729230774,71.91516828307692,58.52461102769231,12.354166666666666,39.541666666666664,24.75
Coho_Lillooet,17.3125,45.5,33.25,27.910527343749997,57.40642578125,44.938359375,26.211964281357144,58.63035713642857,45.06732142278572,26.634999999999998,60.83975,46.937125,28.64783333333333,60.2128,47.22253333333333,25.503571428571426,56.17321428571429,43.92321428571429,28.5625,61.8125,48.15625,22.5422023785,52.3544642825,38.9874404735,30.080357142857142,60.299107142857146,47.46875,24.69480769230769,55.56278846153846,43.18096153846154,28.52069443883333,59.09409721541667,44.9020833275,25.9125,59.099999999999994,45.3,33.33740652261538,65.14663462215384,51.06096421553846,34.438763202749996,69.27056598375,56.2759458445,36.35738116533334,73.17549196533334,59.429519426666666,13.0125,44.2,27.95
