Strategy,Chinook_BB_FA_0.3,Chinook_LFR_FA_0.3,Chinook_LFR_SP_1.3,Chinook_LFR_SU_1.3,Chinook_LFR-Upper_Pitt_SU_1.3,Chinook_Maria_Slough_SU_0.3,Chum_LFR,Coho_BB,Coho_LFR,Coho_Lillooet,Pink_FR,Sockeye_Chilliwack_ES,Sockeye_Cultus_Late,Sockeye_Harrison_Down_Late(Big_Silver),Sockeye_Harrison_River,Sockeye_Harrison_Up_Late(Weaver),Sockeye_Lillooet/Harrison_Late(Birk),Sockeye_Pitt_ES,Sockeye_Widgeon_River
BSL,13.055555555555555,23.47826086956522,18.863636363636363,21,14.117647058823529,16.5,22.727272727272727,12.8125,15.9375,17.3125,27.142857142857142,23.157894736842106,8.095238095238095,25.27777777777778,25.789473684210527,13.157894736842104,17.63157894736842,25.11111111111111,12.222222222222221
S01,21.778211805555557,32.155407608695654,27.74488636363636,29.37375,20.93158088235294,25.22265625,32.78211647727272,19.13642578125,24.87822265625,27.910527343749997,34.984940476190474,30.870559210526316,14.375550595238094,33.03125,34.23667763157895,21.421463815789473,25.16060855263158,32.86458333333333,19.20034722222222
S02,23.268055550555555,31.679207835247038,27.408094692786364,27.915833329947368,20.37280330576103,24.821296292222222,29.98949494593939,20.593452377142857,25.663690471428573,26.211964281357144,31.568273807357144,27.162796695665637,10.299841268761904,29.482924834542484,30.595356034798762,16.372941031564327,21.235990710309597,31.15350694148611,15.626388887222221
S03,22.02908496732026,31.42357336956522,26.96785511363636,28.09223684210526,19.28210018382353,23.3859375,30.052094155844156,22.134999999999998,25.048125,26.634999999999998,32.450325892857144,27.868997678018577,10.637738095238095,30.88623366013072,31.210981037151704,18.278207236842103,22.866137770897833,30.55365017361111,15.587295751633986
S04,25.098496732026142,32.62644268774704,27.98973636363636,28.670526315789473,20.84077205882353,26.83288888888889,32.707653679653674,25.304499999999997,27.27283333333333,28.64783333333333,33.45825714285714,28.99565944272446,11.829619047619047,32.421895424836606,33.13770897832818,19.905116959064326,24.367461300309596,31.22698611111111,15.896339869281045
S05,23.889379084967317,33.903260869565216,27.620636363636365,28.02315789473684,20.068584558823527,25.380555555555553,29.90893939393939,23.237499999999997,22.8875,25.503571428571426,33.050357142857145,27.246130030959755,9.137738095238095,29.161601307189542,30.899767801857585,16.439839181286548,22.946284829721364,31.62673611111111,15.697222222222221
S06,23.536805555555553,30.97357336956522,26.866761363636364,27.667279411764703,18.818539915966387,23.583984375,32.1565490430622,21.53125,27.689732142857146,28.5625,34.65848214285714,28.520394736842107,10.789317042606516,30.884027777777778,31.151973684210528,18.642269736842103,24.94407894736842,30.71736111111111,15.39097222222222
S07,21.052430551805557,26.863181502898552,23.203460923004783,25.22550925727778,16.439702613290194,22.061225487588235,29.302481057522726,19.413095235,21.01488095,22.5422023785,30.884085211278194,26.667634318529608,11.578321426938095,28.07668402646528,29.74348409902303,15.157113485904604,22.296422695180922,28.70970485942361,15.332118054097222
S08,27.6327614379085,33.33905632411067,28.816761363636363,28.99671052631579,22.34420955882353,26.74652777777778,34.41179653679654,27.03125,28.395833333333336,30.080357142857142,36.68973214285714,31.760835913312697,14.392113095238095,33.880718954248366,35.587267801857585,21.5218653250774,27.42937306501548,35.625816993464056,19.630310457516337
S09,20.989583333333336,29.109153726708076,24.516004784688995,26.395138888888887,18.956470588235295,21.372426470588238,29.068147727272727,21.014017857142857,23.486160714285713,24.69480769230769,32.25404135338346,27.656488486842107,9.598527568922306,30.311918402777778,30.10955180921053,17.799300986842105,23.236969572368423,31.96611111111111,16.288178104575163
S10,22.502065967493056,30.53609419936522,26.150812285914142,28.911666662705883,21.97448038822353,25.114218745687502,30.85744816179904,24.438974353153846,27.446904756142857,28.52069443883333,32.580496029023806,28.234873900967106,11.844931075817042,30.249333330844443,30.866452848335527,18.442946817529606,24.789287277118422,32.08016666317778,16.46690972009722
S11,20.673202614379086,28.982806324110673,25.12863636363636,27.00526315789474,18.93014705882353,22.333333333333332,29.89393939393939,19.5625,24.6875,25.9125,31.832857142857144,27.28011695906433,9.950238095238095,30.466013071895425,30.689473684210526,17.669005847953215,22.376023391812865,30.587581699346405,16.01045751633987
S12,28.534722227555555,36.74611801699379,33.460218971004785,34.436776625,27.984400535823532,29.58900123,34.56238557857273,26.679253477000003,30.32518697076923,33.33740652261538,40.579633767857146,34.84789040059211,17.060255459438096,35.39567057640278,36.71357308033553,25.331614359092107,30.16809153849342,36.59955512548611,22.921058010222225
S13,35.17936546211806,40.33621964967048,38.634817255577545,37.066611466124996,32.90498595682352,35.883035009400004,38.95617319810606,32.450833342857145,35.235939111923074,34.438763202749996,42.47916808779464,34.06371585324211,15.15958300607143,35.7351902828492,37.703395912210524,25.759158631842105,29.545501175368422,37.80402056171111,22.961935769097224
ALL,37.42433899084968,44.36433900556522,39.19351958141414,39.235972937411766,34.270123276823526,36.134639570000004,42.495913886009575,37.22479912,39.572095729230774,36.35738116533334,45.41944471932773,38.577919366175436,20.26894174997494,40.46765278577778,41.899947177543865,31.339714822175438,35.35309979003509,43.14908768311111,27.452711869281046
S15,11.522222222222222,18.890025575447574,15.551136363636363,17.333333333333332,11.260504201680671,14.5,17.539772727272727,9.645833333333334,12.354166666666666,13.0125,21.214285714285715,18.31174089068826,6.532738095238095,18.50854700854701,20.558704453441297,11.234817813765181,14.17004048582996,20.61111111111111,9.365079365079364
