expert,code,CU_group,Estimate,Value,Strategy,Est.Type
1,ZD,Chinook_LFR_FA_0.3,BSL_lower,40,BSL,Lower
1,ZD,Chinook_Maria_Slough_SU_0.3,BSL_lower,20,BSL,Lower
1,ZD,Chinook_LFR_SP_1.3,BSL_lower,10,BSL,Lower
1,ZD,Chinook_LFR_SU_1.3,BSL_lower,10,BSL,Lower
1,ZD,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,10,BSL,Lower
1,ZD,Chinook_BB_FA_0.3,BSL_lower,20,BSL,Lower
1,ZD,Chum_LFR,BSL_lower,50,BSL,Lower
1,ZD,Coho_Lillooet,BSL_lower,0,BSL,Lower
1,ZD,Coho_LFR,BSL_lower,0,BSL,Lower
1,ZD,Coho_BB,BSL_lower,0,BSL,Lower
1,ZD,Pink_FR,BSL_lower,30,BSL,Lower
1,ZD,Sockeye_Chilliwack_ES,BSL_lower,0,BSL,Lower
1,ZD,Sockeye_Cultus_Late,BSL_lower,0,BSL,Lower
1,ZD,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,20,BSL,Lower
1,ZD,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,0,BSL,Lower
1,ZD,Sockeye_Pitt_ES,BSL_lower,10,BSL,Lower
1,ZD,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,10,BSL,Lower
1,ZD,Sockeye_Harrison_River,BSL_lower,10,BSL,Lower
1,ZD,Sockeye_Widgeon_River,BSL_lower,0,BSL,Lower
2,Ki,Chinook_LFR_FA_0.3,BSL_lower,15,BSL,Lower
2,Ki,Chinook_Maria_Slough_SU_0.3,BSL_lower,10,BSL,Lower
2,Ki,Chinook_LFR_SP_1.3,BSL_lower,10,BSL,Lower
2,Ki,Chinook_LFR_SU_1.3,BSL_lower,10,BSL,Lower
2,Ki,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,10,BSL,Lower
2,Ki,Chum_LFR,BSL_lower,30,BSL,Lower
3,oQ,Chinook_LFR_FA_0.3,BSL_lower,25,BSL,Lower
3,oQ,Chinook_Maria_Slough_SU_0.3,BSL_lower,0,BSL,Lower
3,oQ,Chinook_LFR_SP_1.3,BSL_lower,25,BSL,Lower
3,oQ,Chinook_LFR_SU_1.3,BSL_lower,30,BSL,Lower
3,oQ,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,0,BSL,Lower
3,oQ,Chinook_BB_FA_0.3,BSL_lower,0,BSL,Lower
3,oQ,Chum_LFR,BSL_lower,25,BSL,Lower
3,oQ,Pink_FR,BSL_lower,35,BSL,Lower
3,oQ,Sockeye_Chilliwack_ES,BSL_lower,20,BSL,Lower
3,oQ,Sockeye_Cultus_Late,BSL_lower,0,BSL,Lower
3,oQ,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,25,BSL,Lower
3,oQ,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,0,BSL,Lower
3,oQ,Sockeye_Pitt_ES,BSL_lower,25,BSL,Lower
3,oQ,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,0,BSL,Lower
3,oQ,Sockeye_Harrison_River,BSL_lower,25,BSL,Lower
3,oQ,Sockeye_Widgeon_River,BSL_lower,0,BSL,Lower
4,xy,Sockeye_Chilliwack_ES,BSL_lower,0,BSL,Lower
4,xy,Sockeye_Cultus_Late,BSL_lower,0,BSL,Lower
4,xy,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,0,BSL,Lower
4,xy,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,0,BSL,Lower
4,xy,Sockeye_Pitt_ES,BSL_lower,20,BSL,Lower
4,xy,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,0,BSL,Lower
4,xy,Sockeye_Harrison_River,BSL_lower,10,BSL,Lower
4,xy,Sockeye_Widgeon_River,BSL_lower,0,BSL,Lower
5,qz,Chinook_LFR_FA_0.3,BSL_lower,0,BSL,Lower
5,qz,Chinook_Maria_Slough_SU_0.3,BSL_lower,0,BSL,Lower
5,qz,Chinook_LFR_SP_1.3,BSL_lower,0,BSL,Lower
5,qz,Chinook_LFR_SU_1.3,BSL_lower,0,BSL,Lower
5,qz,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,0,BSL,Lower
5,qz,Chinook_BB_FA_0.3,BSL_lower,0,BSL,Lower
5,qz,Chum_LFR,BSL_lower,0,BSL,Lower
5,qz,Coho_Lillooet,BSL_lower,0,BSL,Lower
5,qz,Coho_LFR,BSL_lower,0,BSL,Lower
5,qz,Coho_BB,BSL_lower,0,BSL,Lower
5,qz,Pink_FR,BSL_lower,0,BSL,Lower
5,qz,Sockeye_Chilliwack_ES,BSL_lower,0,BSL,Lower
5,qz,Sockeye_Cultus_Late,BSL_lower,0,BSL,Lower
5,qz,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,0,BSL,Lower
5,qz,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,0,BSL,Lower
5,qz,Sockeye_Pitt_ES,BSL_lower,0,BSL,Lower
5,qz,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,0,BSL,Lower
5,qz,Sockeye_Harrison_River,BSL_lower,0,BSL,Lower
5,qz,Sockeye_Widgeon_River,BSL_lower,0,BSL,Lower
6,rh,Pink_FR,BSL_lower,25,BSL,Lower
6,rh,Sockeye_Chilliwack_ES,BSL_lower,25,BSL,Lower
6,rh,Sockeye_Cultus_Late,BSL_lower,0,BSL,Lower
