Strategy,Chinook_BB_FA_0.3,Chinook_LFR_FA_0.3,Chinook_LFR_SP_1.3,Chinook_LFR_SU_1.3,Chinook_LFR-Upper_Pitt_SU_1.3,Chinook_Maria_Slough_SU_0.3,Chum_LFR,Coho_BB,Coho_LFR,Coho_Lillooet,Pink_FR,Sockeye_Chilliwack_ES,Sockeye_Cultus_Late,Sockeye_Harrison_Down_Late(Big_Silver),Sockeye_Harrison_River,Sockeye_Harrison_Up_Late(Weaver),Sockeye_Lillooet/Harrison_Late(Birk),Sockeye_Pitt_ES,Sockeye_Widgeon_River
BSL,41.111111111111114,53.69565217391305,49.72727272727273,51.7,40.470588235294116,43,55.31818181818182,35.9375,45.625,45.5,60.142857142857146,56.578947368421055,21.428571428571427,56.111111111111114,57.36842105263158,39.21052631578947,42.10526315789474,58.05555555555556,32.77777777777778
S01,52.15980902777778,63.282989130434785,60.86055397727273,61.364703125000005,49.50110294117647,55.455953125,64.92896306818182,45.532421875,56.74638671875,57.40642578125,69.14796130952381,65.24651315789474,30.068154761904758,65.33774305555556,66.73379934210527,52.24860197368421,53.30699013157895,66.08039930555556,41.694270833333334
S02,53.24596404634641,62.82500823004941,59.463189389172726,60.15666666252632,50.72564031360662,54.9145833275,64.88226911508659,50.52678570714286,59.971130945357146,58.63035713642857,68.00648213900715,63.18703560047988,26.777976187857142,62.318709147287585,64.57724457851394,48.855665199956135,49.113841585835914,66.77873263461805,38.584885618071894
S03,53.15059640522876,65.25247035573123,59.134522727272724,60.69911184210527,49.329611672794115,54.3,66.21461038961039,49.4975,59.185,60.83975,69.99504464285715,64.729903250774,27.42160714285714,64.33684640522875,65.59415634674923,49.62771381578948,50.89184404024768,65.52414930555555,39.32097630718955
S04,56.419934640522875,66.15610671936759,59.061572727272726,60.28368421052632,51.40108823529411,55.91611111111111,68.23980086580087,54.212833333333336,61.355666666666664,60.2128,70.27525714285714,65.76424148606812,29.822666666666663,65.500522875817,67.90089164086687,50.77719298245614,52.515263157894736,66.60043055555556,40.534248366013074
S05,53.171405228758175,66.01610671936758,58.588522727272725,58.28421052631579,46.986213235294116,51.6875,62.83080086580087,50.08571428571429,54.891666666666666,56.17321428571429,67.78785714285715,61.48482972136223,24.903571428571425,60.40375816993465,63.909597523219816,45.38830409356725,48.64643962848297,67.61180555555555,38.50130718954249
S06,56.46736111111112,65.76127717391304,60.16789772727273,60.30294117647059,49.088891806722685,52.826171875,67.90337918660288,55.90625,62.86160714285714,61.8125,71.31473214285714,65.11019736842105,26.624295112781954,64.64236111111111,67.11842105263159,51.32185444078947,53.56151315789474,67.07430555555555,39.60277777777778
S07,52.97314235554862,60.29624740891305,55.41393939127273,56.91277777533334,45.82553267722745,49.564754898882356,62.78193181468182,48.7832738035,53.74880952,52.3544642825,66.50294485917294,61.91019736592106,28.110404758771427,60.020694442611116,63.09951479994408,45.652453396101976,47.79192982189474,63.69779513624306,37.88689235871528
S08,56.40522875816994,66.69565217391305,60.08664772727273,59.61118421052632,49.103400735294116,54.375,67.3896103896104,53.92857142857143,59.16666666666667,60.299107142857146,71.11160714285714,66.6157120743034,31.991071428571427,64.23611111111111,68.12209752321982,48.76934984520123,51.42511609907121,70.72099673202615,42.09763071895425
S09,50.219375,62.07398550724638,56.161351674641146,56.61909722222222,46.048676470588234,49.14933823529412,61.91611931818182,46.38321428571429,53.377678571428575,55.56278846153846,66.57693609022557,62.11293174342106,25.87830827067669,61.14525173611111,63.86638980263158,46.24404194078947,48.78174753289474,67.37407118055556,37.98623366013072
S10,52.347048605486115,64.18252716866304,58.97495790782828,60.316666662352944,50.458088230294116,52.7794270784375,63.72870812976077,52.583333325,58.46607142214286,59.09409721541667,68.83568121257937,63.44535361498355,27.561246864097743,62.54749999677778,65.27519188200658,48.36573464453947,52.50890898601974,68.04305555055555,39.436111107777776
S11,51.69346405228758,63.877470355731226,57.462272727272726,58.73684210526316,48.870588235294115,52.52777777777778,62.88484848484849,48.9375,58.125,59.099999999999994,67.10785714285714,63.38450292397661,26.958571428571428,63.31699346405229,65.53508771929825,47.182748538011694,51.63304093567252,68.76143790849673,38.748366013071895
S12,61.44648693511112,72.9524726170559,67.00555306948326,67.00000965033334,57.36061645291912,59.958792898,69.66865925368182,54.68756201042857,63.485576929230774,65.14663462215384,73.86628500252381,69.55887358817105,33.231436015971425,67.84141710473611,69.94524397363158,57.874209047914476,59.116222365144736,71.23703342468056,46.625561687777775
S13,65.25398716448612,75.94381665838674,71.07529626703743,70.00047188387501,62.32805324589411,65.8655661222,75.13653321668181,61.95829167928571,70.21068270423076,69.27056598375,77.58415194298215,70.41742626402106,36.70283069523809,70.10342361789682,72.48993772663158,57.53963743578947,58.83057705489474,73.40618611855555,47.59858247246528
ALL,66.69833371816995,76.65307690191305,72.2819356179394,71.31687066541177,65.80143093329411,67.942465212,76.61307836049761,65.5281656,71.91516828307692,73.17549196533334,79.31296677862186,75.45121631775439,39.779975445413534,73.83263195377778,75.78039075929826,63.146086934456136,63.73932756322807,76.95659320755556,50.648218963660135
S15,36.24444444444445,52.048593350383634,48.91477272727273,48.833333333333336,38.470588235294116,42.07142857142857,49.81818181818182,31.9375,39.541666666666664,44.2,55.28571428571429,51.34817813765182,19.366071428571427,48.572649572649574,54.44534412955466,38.59514170040486,39.18218623481782,53.55555555555556,29.706349206349206
